SpeciesId,CU,CU_Name,BroodYear,Escape,TR2,TR3,TR4,TR5,TR6,TR7,Total,Total ER,Age2,Age3,Age4,Age5,Age6,Age7
CM,CM_12,Smith Inlet,2013,40050.8809,NA,3783.879961,NA,NA,NA,NA,3783.879961,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2014,17432.54711,NA,NA,NA,NA,NA,NA,NA,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2016,8106.024401,NA,NA,NA,NA,NA,NA,NA,0.005352398,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2017,9707.027352,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2018,25862.42172,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2019,4766.066528,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1954,37340.1185,NA,16449.01048,90566.90195,947.664966,0,0,107963.5774,0.316243006,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1955,5342.336231,NA,86665.73078,9106.893276,1372.888179,0,0,97145.51224,0.615870797,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1956,16758.06523,NA,8714.61366,13193.21339,1110.834908,0,0,23018.66196,0.20899351,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1957,25458.81813,NA,12624.91546,10674.92766,1373.988936,0,0,24673.83205,0.281383566,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1958,154535.2927,NA,10215.10493,13203.79148,1287.809785,0,0,24706.70619,0.172097947,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1959,13469.72774,NA,12635.03789,12375.62503,1589.996901,0,0,26600.65982,0.282355497,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1960,19018.81358,NA,11842.54472,15279.58995,277.4566802,0,0,27399.59135,0.300554909,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1961,15132.03223,NA,14621.4213,2666.309789,3399.380733,0,0,20687.11182,0.312214352,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1962,19773.5284,NA,2551.45844,32667.44962,1031.648379,0,0,36250.55644,0.273381741,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1963,19584.8497,NA,31260.29856,9913.959072,1429.121611,0,0,42603.37924,0.232154412,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1964,22792.3877,NA,9486.915081,13733.60677,883.2549426,0,0,24103.77679,0.276232769,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1965,1252.797102,NA,13142.03137,8487.924305,2655.650351,0,0,24285.60603,0.772023057,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1966,58754.54909,NA,8122.306791,25520.33176,963.0582849,0,0,34605.69683,0.127336001,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1967,11048.90728,NA,24421.04294,9254.820357,1846.999693,0,0,35522.86299,0.459254393,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1968,17271.42857,NA,8856.16878,17749.34148,1112.204495,0,0,27717.71475,0.389810901,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1969,3008.823529,NA,16984.78823,10688.08914,2867.255766,0,0,30540.13314,0.828004925,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1970,24819.48297,NA,10227.69948,27553.82249,595.4121418,0,0,38376.93412,0.528124742,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1971,12482.87631,NA,26366.94102,5721.805728,119.746868,0,0,32208.49362,0.345563571,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1972,24664.84445,NA,5475.338829,1150.746294,560.5963001,0,0,7186.681423,0.325756252,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1973,10824.69662,NA,1101.177873,5387.231626,3397.008668,0,0,9885.418167,0.508598522,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1974,37267.88409,NA,5155.176513,32644.6545,329.7335884,0,0,38129.5646,0.343743418,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1975,8943.325104,NA,31238.48533,3168.681662,1359.637408,0,0,35766.8044,0.241620295,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1976,954.4894058,NA,3032.190634,13065.87583,852.7922738,0,0,16950.85874,0.59754964,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1977,3386.583658,NA,12503.06296,8195.183427,9886.471996,0,0,30584.71838,0.694987982,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1978,37632.7152,NA,7842.175732,95007.25317,2757.781922,0,0,105607.2108,0.440662072,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1979,4432.558624,NA,90914.81378,26501.79815,623.5230612,0,0,118040.135,0.321270587,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1980,23076.18039,NA,25360.23265,5991.946708,2823.640394,0,0,34175.81975,0.143068335,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1981,13465.72765,NA,5733.84348,27134.68646,20787.06726,0,0,53655.5972,0.20275475,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1982,187782.339,NA,25965.85928,199760.0522,5867.65673,0,0,231593.5682,0.04099963,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1983,51113.29928,NA,191155.3838,56387.14687,1719.456499,0,0,249261.9872,0.06420792,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,1984,9583.743614,NA,53958.26936,16523.67386,573.1756944,0,0,71055.11891,0.223952978,NA,0.4643,0.4852,0.05049,0,0
