"SpeciesId","CU","CU_Name","BroodYear","Escape","TR2","TR3","TR4","TR5","TR6","TR7","Total","Total.ER","Age2","Age3","Age4","Age5","Age6","Age7","CU_index_2"
"CO","CO_26","Mussel-Kynoch",1962,3168.550411,NA,29967.35739,6650.788718,19.51968326,0,0,36637.66579,0.332507442,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1963,4300.175558,NA,40252.88934,624.851176,133.4286799,0,0,41011.1692,0.302279492,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1964,9053.001175,NA,3781.816911,4271.230554,163.0776851,0,0,8216.12515,0.38087216,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1965,24895.75323,NA,25850.97469,5220.334877,57.8691923,0,0,31129.17876,0.290188313,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1966,30307.57395,NA,31595.28457,1852.470267,94.41815586,0,0,33542.17299,0.356689801,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1967,3168.550411,NA,11211.79515,3022.451488,132.8596619,0,0,14367.1063,0.284142723,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1968,19463.95253,NA,18292.92892,4253.015525,43.29028075,0,0,22589.23473,0.356689801,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1969,25801.05335,NA,25740.73099,1385.779804,75.44772498,0,0,27201.95852,0.302279492,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1970,8600.351116,NA,8387.221946,2415.182616,36.18746397,0,0,10838.59203,0.344598621,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1971,14032.15182,NA,14617.52624,1158.409136,41.47760419,0,0,15817.41297,0.344598621,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1972,18106.00235,NA,7011.095485,1327.753602,37.23591067,0,0,8376.084997,0.39900893,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1973,6789.750881,NA,8036.027165,1191.971317,18.83665809,0,0,9246.83514,0.308325082,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1974,11316.25147,NA,7214.225496,602.9866263,11.19167899,0,0,7828.403801,0.338553031,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1975,5923.77188,NA,3649.485042,358.2606175,5.38215064,0,0,4013.12781,0.278097133,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1976,6789.750881,NA,2168.318015,172.2898426,16.77621585,0,0,2357.384073,0.278097133,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1977,5431.800705,NA,1042.758124,537.0291136,18.44461966,0,0,1598.231858,0.356689801,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1978,2489.575323,NA,3250.287207,590.4369519,23.4704116,0,0,3864.19457,0.417145699,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1979,1448.480188,NA,3573.530043,751.3192757,42.41809363,0,0,4367.267412,0.429236879,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
