"","Yr","Area","River","Spawners","Returns","Recruits","Expl"
"295",1972,12,"ALLARDYCE CREEK",NA,NA,NA,NA
"296",1973,12,"ALLARDYCE CREEK",NA,NA,NA,NA
"297",1974,12,"ALLARDYCE CREEK",NA,NA,NA,NA
"298",1975,12,"ALLARDYCE CREEK",NA,NA,NA,NA
"299",1976,12,"ALLARDYCE CREEK",NA,NA,NA,NA
"300",1977,12,"ALLARDYCE CREEK",NA,NA,NA,NA
"301",1978,12,"ALLARDYCE CREEK",30,NA,NA,NA
"302",1979,12,"ALLARDYCE CREEK",38,NA,NA,NA
"303",1980,12,"ALLARDYCE CREEK",NA,NA,298.636353491104,NA
"304",1981,12,"ALLARDYCE CREEK",25,NA,178.327749976484,NA
"305",1982,12,"ALLARDYCE CREEK",NA,NA,255.908771635442,NA
"306",1983,12,"ALLARDYCE CREEK",40,298.636353491104,NA,0.866057834110302
"307",1984,12,"ALLARDYCE CREEK",40,178.327749976484,NA,0.775693911882616
"308",1985,12,"ALLARDYCE CREEK",50,255.908771635442,NA,0.804617873469269
"309",1986,12,"ALLARDYCE CREEK",NA,NA,414.186723885736,0.736636297568
"310",1987,12,"ALLARDYCE CREEK",NA,NA,NA,0.620278215303934
"311",1988,12,"ALLARDYCE CREEK",NA,NA,NA,0.662968422357177
"312",1989,12,"ALLARDYCE CREEK",100,414.186723885736,1300.39499206721,0.758563000132309
"313",1990,12,"ALLARDYCE CREEK",NA,NA,NA,0.551771761004763
"314",1991,12,"ALLARDYCE CREEK",NA,NA,641.717076081514,0.610236891943533
"315",1992,12,"ALLARDYCE CREEK",200,1300.39499206721,NA,0.846200576578609
"316",1993,12,"ALLARDYCE CREEK",NA,NA,236.679059907146,0.870616228783584
"317",1994,12,"ALLARDYCE CREEK",200,641.717076081514,NA,0.688336172661556
"318",1995,12,"ALLARDYCE CREEK",NA,NA,250.145854578909,0.41545900740463
"319",1996,12,"ALLARDYCE CREEK",200,236.679059907146,NA,0.154973827940401
"320",1997,12,"ALLARDYCE CREEK",NA,NA,NA,0.272777956656083
"321",1998,12,"ALLARDYCE CREEK",250,250.145854578909,NA,0.000583078137170725
"322",1999,12,"ALLARDYCE CREEK",NA,NA,NA,0.00581807086852831
"323",2000,12,"ALLARDYCE CREEK",NA,NA,NA,0.000108918915671366
"324",2001,12,"ALLARDYCE CREEK",NA,NA,NA,6.58172515066211e-05
"325",2002,12,"ALLARDYCE CREEK",NA,NA,NA,0.000110894640181671
"326",2003,12,"ALLARDYCE CREEK",NA,NA,NA,0
"327",2004,12,"ALLARDYCE CREEK",NA,NA,NA,8.1251212286391e-05
